0,1,44,1,2,5,19,0,0,3,18,4,0,4,*,*,16,3,48,0,0,5,*,*,*,*,17,0,1,2,1,0,0,1,19,2,*,*,38,2,3,1,7,0
2,2,1,3,0,3,0,0,9,0,9,2,5,0,*,*,19,4,40,0,0,0,*,*,*,*,36,0,13,0,1,0,3,2,26,0,*,*,10,0,2,5,0,0
32,4,2,0,13,4,38,0,20,0,33,0,22,0,*,*,6,0,0,0,1,0,*,*,*,*,5,1,0,5,33,0,11,3,0,1,*,*,30,1,3,1,4,0
19,2,24,0,6,2,11,4,39,2,28,3,18,0,*,*,35,0,1,0,5,0,*,*,*,*,16,2,37,3,11,0,2,2,31,0,*,*,6,1,5,0,7,0
9,0,2,3,7,5,36,0,46,2,11,1,1,2,*,*,25,2,7,0,13,0,*,*,*,*,30,2,6,0,0,0,42,1,45,0,*,*,23,4,16,0,4,0
1,3,1,1,3,5,20,0,27,4,30,2,3,0,*,*,30,2,26,0,15,0,*,*,*,*,30,2,13,3,0,4,11,0,25,3,*,*,17,2,9,4,13,0
32,5,9,5,37,2,20,0,34,1,25,2,37,3,*,*,49,0,20,0,2,0,*,*,*,*,44,0,6,0,0,0,1,0,1,4,*,*,28,3,9,5,11,0
45,0,9,3,14,2,10,0,21,4,20,3,7,0,*,*,34,2,47,0,9,0,*,*,*,*,45,0,4,3,6,0,10,3,35,0,*,*,37,1,2,4,34,0
10,1,11,3,13,0,0,0,25,2,12,2,1,1,*,*,1,1,2,0,14,0,*,*,*,*,19,5,11,2,0,0,40,1,30,0,*,*,49,0,2,3,39,0
18,4,0,2,2,4,25,0,14,0,35,3,1,3,*,*,4,0,29,0,10,0,*,*,*,*,14,0,8,0,1,0,8,3,44,4,*,*,48,1,14,0,3,0
0,2,38,0,2,3,0,0,13,4,17,2,5,1,*,*,17,2,4,0,6,0,*,*,*,*,25,4,12,1,9,0,0,2,1,0,*,*,33,5,42,4,7,0
13,3,2,3,2,4,7,0,26,4,7,4,11,3,*,*,28,4,0,0,11,0,*,*,*,*,33,5,9,3,5,0,34,3,34,1,*,*,13,0,45,3,32,0
19,4,0,0,0,1,2,4,18,1,29,2,0,5,*,*,9,0,4,0,9,0,*,*,*,*,32,5,2,0,5,0,2,0,41,0,*,*,9,0,49,0,3,0
9,4,0,5,2,2,4,0,1,3,4,4,27,4,*,*,37,3,28,4,3,0,*,*,*,*,17,0,3,0,0,0,7,2,43,3,*,*,5,2,15,0,0,0
19,3,7,1,29,1,11,0,30,3,32,2,12,0,*,*,46,3,11,0,11,1,*,*,*,*,13,2,17,0,0,0,11,0,0,4,*,*,12,0,37,3,0,0
9,5,11,0,2,1,9,0,41,4,12,4,6,1,*,*,33,0,1,0,1,0,*,*,*,*,28,3,23,0,26,0,7,4,35,0,*,*,25,1,28,0,7,0
6,2,35,5,1,2,26,0,47,2,40,4,3,5,*,*,44,1,36,0,3,1,*,*,*,*,6,0,0,0,9,0,11,2,32,0,*,*,29,0,1,0,0,0
30,1,38,0,2,2,2,0,29,4,5,1,2,3,*,*,13,4,8,0,1,0,*,*,*,*,2,1,7,3,0,0,9,2,46,0,*,*,21,0,7,0,0,0
0,4,1,1,1,3,2,0,35,3,3,3,13,1,*,*,40,3,35,0,6,1,*,*,*,*,25,4,35,2,1,0,4,0,4,2,*,*,15,3,1,1,0,0
1,3,39,0,0,3,12,4,6,4,22,5,10,0,*,*,47,0,24,0,3,2,*,*,*,*,18,2,22,0,9,0,6,1,36,4,*,*,44,0,0,3,3,0
2,0,3,3,3,0,9,0,19,3,24,3,32,4,*,*,10,0,2,0,0,0,*,*,*,*,42,3,13,3,5,0,0,5,9,0,*,*,3,0,1,3,22,0
1,3,33,1,39,3,11,0,38,2,44,5,42,3,*,*,12,5,46,2,16,2,*,*,*,*,8,3,4,0,13,0,9,2,21,3,*,*,45,1,3,1,18,5
15,0,7,3,11,5,19,0,5,1,27,1,10,0,*,*,11,3,0,5,42,0,*,*,*,*,7,2,2,2,9,0,10,1,2,0,*,*,36,3,40,0,0,0
19,0,3,3,4,3,11,0,2,0,47,4,22,3,*,*,29,5,10,5,3,1,*,*,*,*,3,2,5,3,2,0,0,4,14,0,*,*,2,0,3,0,3,0
5,0,9,0,3,0,9,0,12,0,2,2,28,0,*,*,21,4,10,0,25,0,*,*,*,*,35,5,13,2,14,0,8,4,8,0,*,*,27,3,9,0,2,0
20,5,3,0,2,4,1,0,33,1,17,2,12,1,*,*,8,2,44,5,9,0,*,*,*,*,9,1,18,4,17,0,7,1,40,0,*,*,22,2,14,1,2,0
27,1,3,0,37,5,0,0,7,0,19,0,14,0,*,*,39,1,0,0,12,0,*,*,*,*,0,0,5,3,30,0,10,5,9,3,*,*,20,3,40,3,6,0
11,0,0,0,0,0,1,0,10,3,45,5,1,2,*,*,2,2,30,0,0,0,*,*,*,*,10,0,8,2,7,0,8,2,22,0,*,*,24,0,9,1,7,0
1,0,1,5,3,2,17,0,22,2,31,5,30,2,*,*,42,5,7,0,40,0,*,*,*,*,38,5,13,2,1,5,30,0,18,2,*,*,46,0,15,0,7,0
19,5,0,0,25,2,1,0,43,1,41,5,44,5,*,*,22,1,17,0,7,0,*,*,*,*,34,0,5,3,14,0,1,4,10,3,*,*,42,0,1,0,7,0
11,2,14,4,35,2,9,0,36,4,26,1,27,1,*,*,14,1,20,0,11,0,*,*,*,*,27,0,13,0,10,0,1,5,42,5,*,*,4,2,4,4,0,0
7,1,3,3,12,4,7,0,23,0,10,0,1,1,*,*,3,5,12,0,40,0,*,*,*,*,1,3,13,3,0,0,8,1,12,0,*,*,16,5,11,2,26,0
8,0,9,1,26,0,0,0,8,2,21,0,33,0,*,*,45,0,19,3,19,0,*,*,*,*,15,0,6,0,45,0,0,4,37,3,*,*,34,0,11,0,26,0
4,0,43,1,43,5,10,0,17,4,38,0,43,3,*,*,7,0,4,0,5,2,*,*,*,*,7,1,11,0,13,2,12,1,3,3,*,*,11,1,13,2,0,0
3,5,6,0,3,0,0,0,42,0,1,0,5,0,*,*,43,4,4,0,16,0,*,*,*,*,17,0,16,2,40,0,0,0,40,2,*,*,40,0,0,5,22,0
1,1,3,0,3,2,2,0,28,4,34,4,48,0,*,*,24,3,10,0,1,1,*,*,*,*,20,0,6,5,10,0,3,5,38,5,*,*,7,5,40,3,15,0
