38,4,16,3,6,2,7,0,*,*,12,4,8,2,*,*,35,0,3,5,16,1,38,0,*,*,16,2,14,0,42,4,5,2,17,0,*,*,28,4,34,0,38,0
12,3,10,0,25,2,36,5,*,*,15,4,13,3,*,*,25,2,7,0,2,1,0,0,*,*,24,2,4,0,0,4,42,0,47,0,*,*,38,3,0,0,11,0
16,1,3,1,35,2,20,0,*,*,10,3,0,0,*,*,30,2,44,5,3,4,40,0,*,*,24,2,46,0,9,4,26,0,15,2,*,*,7,2,33,3,28,0
11,5,3,0,0,0,38,0,*,*,45,0,8,3,*,*,22,0,4,5,23,0,49,3,*,*,44,5,16,2,1,2,10,0,31,4,*,*,28,3,11,2,2,3
39,1,17,5,1,5,5,4,*,*,18,1,7,0,*,*,10,2,7,1,9,4,5,3,*,*,4,0,39,4,2,3,10,0,33,5,*,*,3,5,6,0,5,1
9,0,4,3,4,0,1,2,*,*,22,5,11,2,*,*,1,1,5,0,16,4,16,3,*,*,19,0,21,2,10,1,5,4,3,0,*,*,6,0,1,3,39,4
3,0,28,0,2,1,31,0,*,*,14,4,4,4,*,*,4,0,43,0,10,3,46,0,*,*,14,0,39,5,3,5,2,4,5,0,*,*,8,5,8,0,3,2
1,0,36,4,34,3,48,0,*,*,23,1,8,1,*,*,17,2,1,2,16,4,11,0,*,*,25,2,16,2,19,3,0,2,35,0,*,*,7,5,20,0,32,1
33,0,2,0,0,5,36,4,*,*,19,0,47,3,*,*,28,4,8,3,0,4,38,4,*,*,33,5,0,2,8,4,32,4,2,1,*,*,24,2,40,0,9,0
49,0,4,3,4,0,5,5,*,*,0,1,20,2,*,*,9,0,4,1,5,1,29,4,*,*,11,5,2,0,5,0,8,3,13,0,*,*,46,4,12,0,5,0
12,0,46,1,43,2,12,1,*,*,7,4,1,4,*,*,27,3,28,3,15,0,15,0,*,*,21,0,5,0,10,2,0,2,20,0,*,*,3,0,12,0,9,5
0,0,7,2,24,1,29,0,*,*,22,3,4,1,*,*,46,3,28,3,1,3,3,4,*,*,32,2,28,0,8,0,5,0,31,0,*,*,13,0,3,0,17,1
4,0,10,2,1,4,10,3,*,*,16,0,3,5,*,*,33,0,30,0,14,2,8,3,*,*,28,3,0,2,1,1,18,1,10,3,*,*,37,1,12,1,1,0
12,0,22,0,1,2,11,1,*,*,2,0,1,0,*,*,44,1,36,0,2,3,17,3,*,*,6,0,28,3,28,0,7,0,1,0,*,*,15,0,20,2,7,2
20,5,0,5,14,1,9,0,*,*,32,2,4,5,*,*,13,4,20,0,34,4,7,4,*,*,2,1,3,3,2,1,38,2,13,0,*,*,28,4,19,3,1,5
12,0,5,2,10,3,41,4,*,*,14,5,7,3,*,*,9,3,34,2,12,4,5,1,*,*,25,4,25,4,5,0,1,0,0,4,*,*,46,0,7,2,20,4
37,0,3,0,30,3,6,2,*,*,26,0,11,0,*,*,24,0,34,1,48,5,5,5,*,*,3,2,6,2,2,0,46,0,31,0,*,*,17,4,4,5,1,1
15,1,15,0,0,2,11,3,*,*,0,4,45,0,*,*,10,0,17,2,0,4,5,4,*,*,3,3,10,2,8,0,14,0,8,3,*,*,12,0,2,5,15,0
3,0,16,0,19,2,11,0,*,*,16,2,36,3,*,*,30,5,10,3,1,3,11,4,*,*,8,3,10,4,29,0,0,0,12,1,*,*,3,0,2,0,11,4
33,0,7,3,4,0,33,0,*,*,31,5,8,4,*,*,11,3,9,5,44,0,4,4,*,*,7,2,42,4,28,3,12,1,2,5,*,*,3,4,15,0,7,2
7,5,44,0,4,3,11,0,*,*,17,4,18,0,*,*,29,5,42,5,12,2,10,0,*,*,3,4,20,3,23,2,42,0,35,0,*,*,28,0,40,0,20,0
0,0,14,0,11,5,9,5,*,*,26,3,16,0,*,*,8,4,10,1,1,2,3,1,*,*,35,5,5,2,2,3,36,4,8,0,*,*,6,3,27,2,1,3
46,1,40,5,0,0,3,1,*,*,28,2,19,1,*,*,8,2,44,2,25,4,0,0,*,*,9,1,13,2,7,2,26,0,35,0,*,*,40,2,11,0,12,0
14,0,5,5,38,2,3,4,*,*,8,1,21,0,*,*,14,1,0,3,12,3,5,5,*,*,0,0,0,3,40,2,0,2,41,3,*,*,28,0,2,2,4,2
22,2,10,0,11,0,34,0,*,*,36,5,9,1,*,*,2,2,30,2,2,5,7,3,*,*,2,0,22,1,1,4,2,0,36,0,*,*,1,0,15,3,2,1
5,3,31,0,3,2,28,2,*,*,40,0,47,0,*,*,42,5,30,4,1,5,41,4,*,*,14,5,17,5,36,3,17,1,8,0,*,*,43,0,34,5,3,5
8,4,25,3,25,2,3,1,*,*,37,3,5,5,*,*,22,1,12,5,29,3,28,4,*,*,34,0,46,0,14,3,7,2,2,0,*,*,8,5,20,0,19,5
14,3,7,4,27,0,9,0,*,*,5,5,1,5,*,*,14,1,21,3,1,0,3,0,*,*,27,0,39,0,10,0,45,0,11,0,*,*,27,2,42,4,33,3
38,5,1,0,19,2,39,2,*,*,7,5,11,0,*,*,47,5,12,0,40,0,17,0,*,*,1,3,22,5,3,4,2,0,12,0,*,*,8,0,0,5,20,5
28,4,10,0,3,1,2,5,*,*,19,4,0,0,*,*,45,0,2,1,7,0,5,3,*,*,15,0,45,3,2,5,46,1,37,3,*,*,3,1,28,0,24,0
38,2,28,0,43,5,42,3,*,*,18,1,0,1,*,*,45,0,9,0,47,3,47,0,*,*,7,1,18,3,1,5,12,5,46,4,*,*,13,3,43,0,33,4
18,5,3,0,3,0,28,1,*,*,16,0,3,0,*,*,10,4,25,0,26,3,29,0,*,*,21,0,7,5,45,5,0,0,15,4,*,*,1,0,17,0,19,1
6,5,7,1,8,2,41,5,*,*,5,4,17,0,*,*,24,3,2,3,36,5,0,0,*,*,16,0,6,0,10,3,11,3,10,1,*,*,3,3,26,0,3,5
