39,4,38,0,2,5,*,*,21,0,13,0,7,0,*,*,26,2,3,4,36,0,5,4,*,*,45,0,49,1,37,2,10,0,35,0,*,*,37,1,4,0,34,1
9,4,48,3,13,0,*,*,25,2,5,5,18,2,*,*,1,1,5,0,11,4,16,5,*,*,19,0,23,0,38,0,40,0,30,0,*,*,49,0,3,4,39,4
3,0,2,2,2,4,*,*,14,0,12,0,12,0,*,*,4,0,29,0,20,1,46,0,*,*,14,0,5,0,1,4,2,4,44,0,*,*,48,1,22,3,9,4
1,3,27,4,15,3,*,*,13,2,23,2,7,1,*,*,17,2,19,3,8,4,11,2,*,*,25,2,10,5,16,5,0,2,11,1,*,*,33,5,20,0,7,5
33,4,6,4,2,4,*,*,26,3,19,0,12,2,*,*,28,4,2,4,15,0,38,4,*,*,33,5,43,3,5,4,0,0,34,2,*,*,13,0,27,5,32,0
49,4,20,0,0,1,*,*,18,3,38,1,2,4,*,*,9,0,4,1,43,2,29,3,*,*,32,5,37,5,9,0,8,3,28,1,*,*,9,0,4,1,3,2
12,1,41,3,3,1,*,*,1,0,10,4,3,2,*,*,27,3,28,3,33,0,15,5,*,*,17,0,25,0,49,2,0,2,43,5,*,*,5,2,7,5,9,5
0,0,25,5,7,2,*,*,30,0,9,0,9,0,*,*,46,3,19,3,16,0,3,0,*,*,13,2,6,0,2,2,0,0,20,5,*,*,12,0,27,0,0,1
4,0,43,4,2,1,*,*,41,0,9,5,12,2,*,*,33,0,8,5,10,0,8,0,*,*,28,3,0,4,3,3,41,2,27,1,*,*,25,1,3,0,0,1
12,0,40,0,1,2,*,*,47,5,4,5,1,0,*,*,44,1,36,0,14,4,17,4,*,*,6,0,31,0,23,3,2,4,32,0,*,*,29,0,10,0,22,3
20,2,19,4,2,2,*,*,29,3,2,3,0,2,*,*,13,4,8,4,25,5,7,1,*,*,2,1,14,5,44,1,9,2,46,0,*,*,21,0,8,3,0,5
12,3,5,2,2,0,*,*,35,1,4,5,1,3,*,*,25,3,35,0,15,2,5,2,*,*,25,4,30,2,40,5,1,0,4,3,*,*,15,3,4,5,0,0
37,3,18,0,0,3,*,*,6,0,22,1,6,0,*,*,47,0,24,0,28,2,5,3,*,*,18,2,15,0,36,3,6,0,36,3,*,*,44,0,44,0,6,3
15,0,46,0,3,0,*,*,19,0,19,4,9,0,*,*,10,0,2,3,46,0,5,0,*,*,42,3,13,3,18,0,4,0,26,2,*,*,3,0,2,5,22,2
3,4,33,3,39,3,*,*,38,0,4,5,9,3,*,*,12,5,14,3,44,3,11,2,*,*,8,3,34,0,15,0,0,0,21,0,*,*,45,1,19,0,18,5
33,0,45,0,11,5,*,*,5,0,8,5,12,2,*,*,11,3,9,5,6,0,4,0,*,*,7,2,16,0,14,5,10,1,2,1,*,*,36,3,5,0,7,0
7,0,15,0,11,5,*,*,2,3,23,4,0,0,*,*,29,5,2,3,29,0,10,1,*,*,3,4,9,0,8,3,0,0,14,4,*,*,2,0,18,0,26,4
0,0,42,2,3,0,*,*,12,0,4,5,9,0,*,*,8,4,10,1,31,2,3,3,*,*,35,5,46,0,19,3,8,4,8,2,*,*,27,3,22,5,4,2
46,4,0,3,2,4,*,*,33,2,2,0,19,1,*,*,8,2,44,2,26,4,0,5,*,*,9,1,49,0,28,3,0,0,40,0,*,*,22,2,1,0,2,0
14,0,39,5,38,2,*,*,7,0,13,0,9,5,*,*,39,1,0,3,0,3,5,4,*,*,0,0,35,4,41,0,11,2,9,1,*,*,20,3,8,4,0,2
22,0,49,0,0,0,*,*,10,5,36,5,3,0,*,*,2,2,4,3,2,2,7,3,*,*,10,0,17,1,22,5,4,0,22,0,*,*,24,0,1,5,1,1
5,4,31,5,0,3,*,*,22,0,0,0,12,0,*,*,42,5,24,3,9,2,41,3,*,*,38,5,32,0,32,5,8,1,18,1,*,*,46,0,7,5,7,5
8,0,26,0,5,1,*,*,43,0,6,3,9,2,*,*,22,1,0,5,32,0,28,3,*,*,34,0,41,1,25,0,6,0,10,3,*,*,42,0,1,0,0,5
14,0,21,4,41,4,*,*,36,4,46,5,1,5,*,*,14,1,20,3,47,0,3,2,*,*,27,0,23,5,47,5,1,0,42,0,*,*,4,2,4,2,1,3
38,1,29,0,12,4,*,*,23,0,15,3,5,0,*,*,3,5,12,0,14,0,17,1,*,*,1,3,29,0,27,0,11,2,12,3,*,*,16,5,27,5,7,5
28,2,5,2,1,5,*,*,8,0,19,4,0,0,*,*,45,0,34,5,13,4,5,2,*,*,15,0,39,1,21,3,0,1,37,3,*,*,34,0,10,5,26,0
38,3,4,1,1,1,*,*,17,3,18,1,2,5,*,*,7,0,4,0,30,3,47,4,*,*,7,1,21,3,20,5,12,5,3,4,*,*,11,1,0,0,0,2
18,1,35,0,3,0,*,*,42,0,0,0,0,0,*,*,0,4,4,2,40,5,29,0,*,*,17,0,33,1,29,0,0,0,17,2,*,*,40,0,1,0,3,4
6,1,12,1,3,2,*,*,28,0,16,0,17,0,*,*,24,3,10,3,4,5,0,1,*,*,20,0,48,2,35,0,3,3,38,0,*,*,7,5,8,0,15,0
